from_naptan,to_naptan,from_station,to_station,line,direction,line_direction,platform_direction
940GZZLULSQ,940GZZLUCGN,Leicester Square,Covent Garden,Piccadilly,Outbound,EB,EB
940GZZLULYN,940GZZLUSTD,Leyton,Stratford,Central,Inbound,WB,WB
940GZZLULYN,940GZZLULYS,Leyton,Leytonstone,Central,Outbound,EB,EB
940GZZLULYS,940GZZLULYN,Leytonstone,Leyton,Central,Inbound,WB,WB
940GZZLULYS,940GZZLUWSD,Leytonstone,Wanstead,Central,Outbound,EB,EB
940GZZLULYS,940GZZLUSNB,Leytonstone,Snaresbrook,Central,Outbound,EB,EB
940GZZLULVT,940GZZLUBNK,Liverpool Street,Bank,Central,Inbound,WB,WB
940GZZLULVT,940GZZLUBLG,Liverpool Street,Bethnal Green,Central,Outbound,EB,EB
940GZZLULVT,940GZZLUALD,Liverpool Street,Aldgate,Metropolitan,Outbound,SB,EB
940GZZLULVT,940GZZLUMGT,Liverpool Street,Moorgate,Metropolitan,Inbound,NB,WB
940GZZLULVT,940GZZLUADE,Liverpool Street,Aldgate East,Hammersmith & City,Outbound,EB,EB
940GZZLULVT,940GZZLUMGT,Liverpool Street,Moorgate,Hammersmith & City,Inbound,WB,WB
940GZZLULVT,940GZZLUALD,Liverpool Street,Aldgate,Circle,Outbound,OR,EB
940GZZLULVT,940GZZLUMGT,Liverpool Street,Moorgate,Circle,Inbound,IR,WB
940GZZLULNB,940GZZLUBMY,London Bridge,Bermondsey,Jubilee,Outbound,EB,EB
940GZZLULNB,940GZZLUSWK,London Bridge,Southwark,Jubilee,Inbound,WB,WB
940GZZLULNB,940GZZLUBNK,London Bridge,Bank,Northern,Outbound,NB,NB
940GZZLULNB,940GZZLUBOR,London Bridge,Borough,Northern,Inbound,SB,SB
940GZZLULGN,940GZZLUBKH,Loughton,Buckhurst Hill,Central,Inbound,WB,WB
940GZZLULGN,940GZZLUDBN,Loughton,Debden,Central,Outbound,EB,EB
940GZZLUMVL,940GZZLUWKA,Maida Vale,Warwick Avenue,Bakerloo,Inbound,SB,SB
940GZZLUMVL,940GZZLUKPK,Maida Vale,Kilburn Park,Bakerloo,Outbound,NB,NB
940GZZLUMRH,940GZZLUFPK,Manor House,Finsbury Park,Piccadilly,Inbound,WB,WB
940GZZLUMRH,940GZZLUTPN,Manor House,Turnpike Lane,Piccadilly,Outbound,EB,EB
940GZZLUMSH,940GZZLUBKF,Mansion House,Blackfriars,District,Inbound,WB,WB
940GZZLUMSH,940GZZLUCST,Mansion House,Cannon Street,District,Outbound,EB,EB
940GZZLUMSH,940GZZLUBKF,Mansion House,Blackfriars,Circle,Outbound,OR,WB
940GZZLUMSH,940GZZLUCST,Mansion House,Cannon Street,Circle,Inbound,IR,EB
940GZZLUMBA,940GZZLULGT,Marble Arch,Lancaster Gate,Central,Inbound,WB,WB
940GZZLUMBA,940GZZLUBND,Marble Arch,Bond Street,Central,Outbound,EB,EB
940GZZLUMYB,940GZZLUBST,Marylebone,Baker Street,Bakerloo,Inbound,SB,SB
940GZZLUMYB,940GZZLUERB,Marylebone,Edgware Road,Bakerloo,Outbound,NB,NB
